,Name + autors,Fields,Date,Abstract,Citations,PDF link
101,Machine learning in chemoinformatics and drug Lo Rensi/a821071ce32bdaa6130e618bb1ad1112a6a94915,"Computer Science, Medicine",1 August 2018,We present basic principles and recent case studies to demonstrate the utility of machine learning techniques in chemoinformatics analyses,Expand,PDF
102,Machine Learning and Deep Learning Methods for Xin Kong/39361b3507c9f8b0a97780568b645f80a208d78a,Computer Science,15 May 2018,This survey report describes key literature surveys on machine learning (ML) and deep,185,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8359287
103,Current Applications and Future Impact of Machine Choy Khalilzadeh/5fdc2223709079ba5c0f78661cdf66cec2173258,Medicine,26 June 2018,   ,182,https://www.ncbi.nlm.nih.gov/pubmed/29944078
104,Data Mining Practical Machine Learning Tools And Abendroth/528ecb0f88a9ea6110ba309b98cc2f0678f257c9,Computer Science,2016,"Data mining practical machine learning tools and techniques with java implementations, but end up in infectious downloads.",401,
105,Machine Learning Approaches for Clinical Psychology Dwyer Falkai/d5125164c7fec457d1442cce807a3436841715d0,"Medicine, Psychology",7 May 2018,   ,167,https://www.ncbi.nlm.nih.gov/pubmed/29401044
106,Delayed Impact of Fair Machine Learning Liu Dean/4f2baff3195b6fc43a38e3e869496dab9fe9dbc3,"Computer Science, Mathematics",12 March 2018,"This paper is an abridged version of the paper of the same name which appeared at the 35th International Conference of Machine Learning [Liu et al., 2018].",171,https://arxiv.org/pdf/1803.04383.pdf
107,Combining satellite imagery and machine learning to Jean Burke/4f975da00a5b2a2f7236e34edcb7274e5fdab937,Medicine,19 August 2016,   ,640,https://doi.org/10.1126/science.aaf7894
108,The Frontiers of Fairness in Machine Learning Chouldechova Roth/8285e1b5536ce11d55462ae757f61c75ec6773c6,"Computer Science, Mathematics",20 October 2018,"We convened a group of experts as part of a CCC visioning workshop to assess the state of the field, and distill the most promising research directions going forward.   ",129,https://arxiv.org/pdf/1810.08810.pdf
109,Potential Biases in Machine Learning Algorithms Gianfrancesco Tamang/161ce338538f94b0b9be51ae2336db0aa4b012e5,Medicine,1 November 2018,   ,172,https://doi.org/10.1001/jamainternmed.2018.3763
110,Taking Human out of Learning Applications%3A A Survey Yao Wang/ca62b1904a4f3982b172c85204a588f494cb6a22,"Computer Science, Mathematics",31 October 2018,We propose a general AutoML framework that not only covers most existing approaches to date but also can guide the design for new methods.   ,123,https://arxiv.org/pdf/1810.13306.pdf
111,Machine learning at the energy and intensity of Radovic Williams/bb0bec2f6836b97af51f280eb77895e7170f47c9,"Computer Science, Medicine",1 August 2018,The application and development of machine learning -,127,https://doi.org/10.1038/s41586-018-0361-2
112,Machine learning in cardiovascular medicine%3A are we Shameer Johnson/f4c3315684cfd474c3d13ae4954de0dead5e81a3,Medicine,19 January 2018,   ,129,https://doi.org/10.1136/heartjnl-2017-311198
113,Federated Optimization%3A Distributed Machine for Konecn%C3%BD McMahan/561269a24f2f2a06409109723a8ab93a01696efc,Computer Science,8 October 2016,"We introduce a new and increasingly relevant setting for distributed optimization in machine learning , where the data defining the optimization are unevenly distributed over an extremely large number of nodes.",475,https://arxiv.org/pdf/1610.02527.pdf
114,Machine Learning and Data Mining Methods in Kavakiotis Tsave/86d7ef18644c45f9417239907daeba1b61dc8185,Medicine,8 January 2017,   ,369,https://www.ncbi.nlm.nih.gov/pubmed/28138367
115,Machine learning with Python Ferreira Simons/f2e07ccce9a89f7c018bd62d390240e8ee0b0045,Computer Science,28 April 2017,This presentation is a case study taken from the travel and holiday industry.   ,606,https://doi.org/10.1002/9781119183600
116,Quantum machine learning Biamonte Wittek/ad8faf6376e0b0a636f2a5210abc70c41d3d8a91,"Computer Science, Medicine",28 November 2016,"Fuelled by increasing computer power and algorithmic advances, machine learning techniques have become powerful tools for finding patterns in data.",478,https://doi.org/10.1038/nature23474
117,Machine Learning Paradigms for Next Generation Jiang Zhang/dd41d656e21c30dd761bee2eba303d1aa014d120,Computer Science,1 April 2017,We introduce the basic concept of machine learning algorithms and the corresponding applications according to the category of supervised,558,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7792374
118,Machine learning methods for solar radiation A Voyant Notton/b7621b358485eb3e34a874b97d1ecd6b5d5ac70b,Engineering,1 May 2017,   ,483,https://doi.org/10.1016/J.RENENE.2016.12.095
119,Correlation based Feature Selection for Machine Hall/6bc43977fb11cceed0b9aa55b23c6dd29dd9a132,Computer Science,2003,A central problem in machine learning is identifying a representative set of features from which to construct a classification model for a particular task.,3171,
120,Can machine learning improve cardiovascular risk Weng Reps/5b77625b30ab2fa8abf5c152831a6985a61516ee,Medicine,4 April 2017,   ,353,https://pdfs.semanticscholar.org/53b4/a14870e6560514cd86ff1019d265ce9e2e28.pdf
121,Data Mining and Analytics in the Process Industry%3A Ge Song/1ce15f4a83706b877e86f29549920651a888b144,Computer Science,26 September 2017,Data mining and analytics have played an important role in knowledge discovery and decision making/supports in the process industry over the past several decades.   ,336,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8051033
122,Machine Learning Based Sentiment Analysis for Hasan Moin/959c9dbfceda3825787f75f63fd7c87f332dc271,Computer Science,27 February 2018,This paper presents a hybrid approach for sentiment analysis in the analysis of political views by applying supervised machine learning -,93,https://pdfs.semanticscholar.org/959c/9dbfceda3825787f75f63fd7c87f332dc271.pdf
123,Ten quick tips for machine learning in biology Chicco/79320387bfe5e5b9d95d32ad3436671c1665f290,"Computer Science, Medicine",8 December 2017,"We present ten quick tips to take advantage of machine learning in any computational biology context, by avoiding common errors that we observed hundreds of times in multiple bioinformatics projects.",277,https://doi.org/10.1186/s13040-017-0155-3
124,Foundations of Machine Learning Mohri Rostamizadeh/e9239469aba4bccf3e36d1c27894721e8dbefc44,Computer Science,17 August 2012,This graduate-level textbook introduces fundamental concepts and methods in machine learning .,1721,http://mitpress.mit.edu/books/foundations-machine-learning-0
125,Unintended Consequences of Machine Learning in Cabitza Rasoini/b191fc4294f6f067067e4e152bd4efc8bbb87afd,Medicine,8 August 2017,   ,301,https://doi.org/10.1001/jama.2017.7797
126,Bypassing the Kohn Sham equations with machine Brockherde Li/2e5ee400be272be9c64c40f19ea91efb11046202,"Computer Science, Medicine",9 September 2016,We perform the first molecular dynamics simulation using a machine  -learned density functional that avoids direct solution of the Kohn-Sham equations.,271,https://doi.org/10.1038/s41467-017-00839-3
127,Machine Learning With Big Data%3A Challenges and L'Heureux Grolinger/a7f8b8e6124901c1e22e940092e87b5b93776ab3,Computer Science,20 April 2017,"The Big Data revolution promises to transform how we live, work, and think by enabling process optimization, empowering insight discovery and improving decision making.   ",262,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7906512
128,How the machine %E2%80%98thinks%E2%80%99%3A Understanding opacity in Burrell/91e36e1c6e3d4a5bdc97fa5ab5b89bdf9113413d,Computer Science,5 January 2016,"This article considers the issue of opacity as a problem for socially consequential mechanisms of classification and ranking, such as spam filters, credit card fraud detection, search engines, news trends, market segmentation and advertising, insurance or loan qualification.   ",536,https://doi.org/10.1177/2053951715622512
129,A Survey of Data Mining and Machine Learning for Buczak Guven/971766088dfaf63fb55e6f0190b14f28f2c98ad0,Computer Science,22 January 2016,This survey paper describes a focused literature survey of machine learning (ML) and data mining (DM) methods for cyber analytics in support of intrusion detection.,574,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7307098
130,Machine learning on big data%3A Opportunities and Zhou Pan/079b2cfe950a96d5a43a3febc983d151fb533b53,Computer Science,10 May 2017,"In this paper, we introduce a framework of ML on big data (MLBiD) to guide the discussion of its opportunities and challenges.   ",259,https://doi.org/10.1016/j.neucom.2017.01.026
131,Deep learning and its applications to machine Zhao Yan/1ed33896e82cc3810b349cdffc2039f0b8edd82e,Computer Science,15 January 2019,We review and summarize the emerging research work of deep learning machine on,556,https://doi.org/10.1016/J.YMSSP.2018.05.050
132,Predicting the Future Big Data%2C Machine Learning%2C Obermeyer Emanuel/8d7238eea00059deb446b6309bcae2901c966049,Medicine,28 September 2016,   ,919,https://www.ncbi.nlm.nih.gov/pubmed/27682033
133,Oblivious Multi Party Machine Learning on Trusted Ohrimenko Schuster/7aaede70f5efcb1542a80707c1f0f8b01955a7d2,Computer Science,10 August 2016,We propose data-oblivious machine learning algorithms for support vector,309,https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/ohrimenko
134,Machine learning phases of matter Carrasquilla Melko/dd308eb0d7be24e593fe355476057fc37ab5bf0e,"Physics, Computer Science",17 March 2016,"We show that modern machine learning architectures, such as fully connected and convolutional neural networks, can identify phases and phase transitions in a variety of condensed-matter Hamiltonians from raw state configurations sampled with Monte Carlo.",593,https://arxiv.org/pdf/1605.01735.pdf
135,Quantum machine learning Oshurko/776b5c7b2966fd700980361aa32ee573edb70bf3,,2016,   ,418,https://doi.org/10.1142/9781786348210_0010
136,Machine Learning for Combinatorial Optimization%3A a Bengio Lodi/3f13a5148f7caa51ea946193d261d4f8ed32d81a,"Computer Science, Mathematics",15 November 2018,"This paper surveys the recent attempts, both from the machine learning and operations research communities, at leveraging",164,https://arxiv.org/pdf/1811.06128.pdf
137,Machine Learning for High Throughput Stress in Singh Ganapathysubramanian/a09a9f69ff145508a12e6dbb81ccd7f5be4bd2fc,"Biology, Medicine",1 February 2016,   ,344,https://www.ncbi.nlm.nih.gov/pubmed/26651918
138,Machine learning Keeping/0f839dc673d4889688bae5d3b6460bb2eb718cd2,,4 March 2019,   ,,https://doi.org/10.1080/14432471.2019.1597409
139,Perspective%3A Machine learning potentials for Behler/441c31274f4535a4a50892c1ad6e19eacfd17f8c,Medicine,1 November 2016,   ,372,https://www.ncbi.nlm.nih.gov/pubmed/27825224
140,mlr%3A Machine Learning in R Bischl Lang/c87a4433c57ddabd50f32ca2c2d2197244692106,Computer Science,2016,"The MLR package provides a generic, object-oriented, and extensible framework for classification, regression, survival analysis and clustering for R.   ",314,http://jmlr.org/papers/v17/15-066.html
141,A General Purpose Machine Learning Framework for of Ward Agrawal/5fb3a80f0383a7ee94c6a36f71f9d81ffa4aaaaf,"Materials Science, Computer Science",30 June 2016,We present a general-purpose machine learning -,324,https://arxiv.org/pdf/1606.09551.pdf
142,A survey of machine learning for big data Qiu Wu/27245e65a27bde90b5b0bb25d157bb75a0ad8b5a,Computer Science,28 May 2016,We present a literature survey of the latest advances in researches on machine learning for big data processing.,322,https://doi.org/10.1186/S13634-016-0355-X
143,Explanation and Justification in Machine Learning %3A Biran Cotton/02e2e79a77d8aabc1af1900ac80ceebac20abde4,Computer Science,2017,We present a survey of the research concerning explanation and justification in the Machine Learning literature and several adjacent fields.,231,
144,Interactive machine learning for health when do we Holzinger/09755f549468209199565f8037061281080c968f,"Computer Science, Medicine",2 March 2016,   ,321,https://doi.org/10.1007/s40708-016-0042-6
145,A Proposal on Machine Learning via Dynamical Weinan/e3f8c8253767b6fe0891025cdf772cd286337921,Computer Science,22 March 2017,We discuss the idea of using continuous dynamical systems to model general high-dimensional nonlinear functions used in machine learning .,218,https://doi.org/10.1007/S40304-017-0103-Z
146,Materials discovery and design using machine Liu Zhao/192f45d07d16c47e8194e1e3d00ec8c8b05f128c,Materials Science,1 September 2017,   ,242,https://doi.org/10.1016/J.JMAT.2017.08.002
147,Non convex Optimization for Machine Learning Jain Kar/43d1fe40167c5f2ed010c8e06c8e008c774fd22b,"Computer Science, Mathematics",21 December 2017,A vast majority of machine learning algorithms train their models and perform inference by solving optimization problems.,162,https://arxiv.org/pdf/1712.07897.pdf
